iter	Passed	Remaining
926	2125	167
927	2127	165
928	2129	162
929	2131	160
930	2132	158
931	2133	155
932	2136	153
933	2137	151
934	2139	148
935	2141	146
936	2142	144
937	2144	141
938	2145	139
939	2147	137
940	2148	134
941	2151	132
942	2153	130
943	2154	127
944	2156	125
945	2157	123
946	2159	120
947	2160	118
948	2162	116
949	2163	113
950	2166	111
951	2168	109
952	2170	107
953	2172	104
954	2174	102
955	2176	100
956	2178	97
957	2181	95
958	2182	93
959	2184	91
960	2185	88
961	2187	86
962	2188	84
963	2190	81
964	2191	79
965	2193	77
966	2194	74
967	2196	72
968	2198	70
969	2199	68
970	2201	65
971	2202	63
972	2205	61
973	2207	58
974	2208	56
975	2210	54
976	2211	52
977	2213	49
978	2215	47
979	2216	45
980	2218	42
981	2220	40
982	2222	38
983	2223	36
984	2224	33
985	2226	31
986	2228	29
987	2229	27
988	2231	24
989	2232	22
990	2233	20
991	2236	18
992	2238	15
993	2239	13
994	2240	11
995	2242	9
996	2243	6
997	2245	4
998	2246	2
999	2247	0
